Date,County Name,Partially Covered,Fully Covered,Additional Dose
12/26/2020,Juniata,6,,
12/26/2020,Lawrence,3,,
08/04/2021,Butler,196,109,
06/14/2021,Lycoming,36,114,
12/26/2020,Lycoming,4,,
12/26/2020,Mercer,1,,
12/26/2020,Mifflin,14,,
03/29/2021,Out-of-State,3714,2213,
06/17/2021,Dauphin,263,575,
11/14/2021,Berks,411,61,243
12/26/2020,Perry,1,,
12/26/2020,Pike,4,,
10/28/2021,Tioga,30,15,68
12/26/2020,Snyder,12,,
12/26/2020,Somerset,1,,
12/26/2020,Susquehanna,2,,
12/26/2020,Tioga,2,,
12/26/2020,Union,19,,
07/12/2021,Out-of-State,293,300,
12/26/2020,Wayne,6,,
01/27/2021,Greene,227,20,
10/29/2021,Lancaster,332,248,1523
12/27/2020,Adams,10,,
12/27/2020,Armstrong,3,,
03/04/2021,Lycoming,618,486,
08/03/2021,Crawford,54,24,
12/27/2020,Bradford,2,,
03/27/2021,Greene,48,12,
06/04/2021,Potter,81,116,
01/16/2021,Dauphin,227,24,
12/27/2020,Clearfield,3,,
12/27/2020,Clinton,1,,
04/14/2021,Cumberland,1746,1730,
08/28/2021,Lackawanna,141,159,24
10/06/2021,Lehigh,200,251,649
12/27/2020,Erie,1,,
12/27/2020,Fulton,1,,
12/27/2020,Huntingdon,3,,
12/27/2020,Indiana,1,,
12/27/2020,Juniata,3,,
01/26/2021,Huntingdon,100,22,
12/27/2020,Lawrence,2,,
03/09/2021,Franklin,354,529,
10/16/2021,Lackawanna,73,70,244
05/26/2021,Berks,890,1475,
09/17/2021,Chester,235,355,86
12/27/2020,Mercer,2,,
12/27/2020,Mifflin,12,,
12/27/2020,Monroe,68,,
12/18/2020,Centre,310,,
04/22/2021,Crawford,77,85,
05/19/2021,Juniata,27,20,
12/27/2020,Perry,2,,
12/27/2020,Pike,1,,
01/28/2021,Allegheny,6065,3036,
12/27/2020,Snyder,18,,
03/30/2021,Northampton,1094,739,
12/27/2020,Tioga,3,,
09/11/2021,Beaver,81,77,6
12/27/2020,Wayne,10,,
12/27/2020,Westmoreland,27,,
12/27/2020,Wyoming,6,,
02/06/2021,Lycoming,342,40,
07/23/2021,Centre,68,72,
01/20/2021,Snyder,60,22,
10/12/2021,Susquehanna,10,21,16
04/21/2021,Washington,828,2155,
11/13/2021,Centre,122,43,181
12/28/2020,Cameron,2,,
08/12/2021,Jefferson,28,16,
11/12/2021,Bradford,86,20,185
07/30/2021,Monroe,225,154,
12/28/2020,Clinton,20,,
12/28/2020,Crawford,133,,
08/10/2021,Perry,33,25,
06/08/2021,Dauphin,289,857,
01/02/2021,Sullivan,183,,
07/22/2021,Berks,337,362,
12/28/2020,Forest,6,,
12/28/2020,Greene,18,,
10/05/2021,Adams,45,57,102
01/07/2021,Clinton,27,6,
12/28/2020,Jefferson,69,,
12/28/2020,Juniata,8,,
12/31/2020,Union,22,,
02/02/2021,Somerset,102,15,
12/28/2020,Mckean,78,,
08/28/2021,York,302,353,27
03/03/2021,Potter,57,7,
08/06/2021,Bedford,43,24,
03/06/2021,Fayette,490,1133,
02/17/2021,Crawford,165,713,
10/11/2021,Mifflin,18,16,7
12/28/2020,Potter,31,,
12/28/2020,Snyder,38,,
01/12/2021,Blair,124,180,
12/28/2020,Sullivan,3,,
11/15/2021,Somerset,64,26,150
03/04/2021,Blair,607,548,
12/28/2020,Warren,18,,
04/03/2021,Northumberland,165,108,
11/02/2021,Schuylkill,68,63,333
08/05/2021,Lackawanna,195,100,
08/28/2021,Wyoming,19,15,3
12/29/2020,Bradford,119,,
04/28/2021,Fayette,224,829,
08/05/2021,Bucks,512,318,
12/29/2020,Cameron,6,,
06/03/2021,Northampton,455,967,
06/07/2021,Greene,61,39,
12/29/2020,Clarion,111,,
12/29/2020,Clinton,19,,
05/07/2021,Lackawanna,547,1156,
12/29/2020,Crawford,96,,
09/11/2021,Clearfield,38,28,3
11/03/2021,Forest,5,1,12
12/29/2020,Elk,71,,
08/18/2021,Bradford,40,32,4
06/24/2021,Westmoreland,191,459,
12/29/2020,Forest,6,,
12/29/2020,Fulton,3,,
02/22/2021,Out-of-State,1356,1525,
02/24/2021,Monroe,253,545,
04/20/2021,Warren,44,94,
07/26/2021,Centre,111,48,
01/10/2021,Adams,103,27,
01/09/2021,Mercer,55,42,
06/15/2021,Montour,6,20,
08/18/2021,Chester,426,402,210
03/16/2021,Bradford,199,77,
08/31/2021,Dauphin,198,214,43
03/18/2021,Mckean,235,85,
08/22/2021,Montour,10,,1
04/19/2021,Blair,847,223,
01/29/2021,Greene,319,107,
12/29/2020,Pike,95,1,
02/17/2021,Philadelphia,1098,1147,
06/06/2021,Delaware,192,1528,
11/17/2021,Union,54,7,103
12/29/2020,Sullivan,5,,
12/29/2020,Susquehanna,81,,
12/29/2020,Venango,78,,
12/29/2020,Warren,16,,
09/30/2021,Carbon,12,24,23
12/29/2020,Wayne,42,,
08/24/2021,Greene,19,5,2
08/05/2021,Clearfield,52,192,
06/23/2021,Lehigh,318,489,
09/26/2021,Fayette,38,27,99
06/12/2021,Philadelphia,234,676,
01/08/2021,Dauphin,513,34,
02/18/2021,Allegheny,3979,3423,
09/07/2021,Clarion,14,23,1
12/30/2020,Cameron,13,,
10/22/2021,Northumberland,53,66,301
12/30/2020,Clarion,31,,
11/04/2021,Lancaster,363,207,1462
09/24/2021,Greene,29,16,9
04/14/2021,Somerset,108,168,
12/30/2020,Forest,2,,
01/17/2021,Northumberland,34,54,
01/07/2021,Union,62,95,
11/07/2021,Erie,143,43,216
06/22/2021,Centre,70,163,
06/23/2021,Washington,112,160,
09/10/2021,Columbia,84,67,32
03/06/2021,Westmoreland,911,831,
03/28/2021,Bucks,745,498,
04/17/2021,Northumberland,223,296,
09/30/2021,Lycoming,83,72,117
07/09/2021,Beaver,59,152,
03/07/2021,Mifflin,11,176,
03/18/2021,Washington,1199,1580,
12/30/2020,Pike,33,,
10/27/2021,Elk,20,14,142
01/26/2021,Delaware,1796,791,
01/08/2021,Elk,45,30,
12/30/2020,Sullivan,6,,
07/14/2021,Luzerne,183,228,
08/27/2021,Adams,89,112,20
10/19/2021,Montgomery,559,318,1078
09/16/2021,Blair,62,81,20
02/05/2021,Centre,1229,67,
12/31/2020,Bedford,3,,
02/16/2021,Venango,181,175,
03/13/2021,Beaver,1377,928,
12/31/2020,Bradford,4,,
09/16/2021,Lackawanna,97,121,62
12/31/2020,Cambria,102,,
12/31/2020,Cameron,5,,
12/31/2020,Carbon,72,,
05/17/2021,Lackawanna,427,612,
04/11/2021,Philadelphia,630,974,
